iter	MAE
0	0.6548964934
1	0.6402109418
2	0.6268295151
3	0.612122303
4	0.6000854127
5	0.5884165737
6	0.5772733599
7	0.565682705
8	0.5570274936
9	0.5475436983
10	0.5392626799
11	0.5267930601
12	0.5193200819
13	0.51153474
14	0.5051599972
15	0.4978165874
16	0.4910230152
17	0.4854207771
18	0.4797682506
19	0.4748489158
20	0.4696687298
21	0.4615705695
22	0.4574302096
23	0.4534880819
24	0.4495141959
25	0.4456125183
26	0.4421852133
27	0.4383761536
28	0.4346562579
29	0.4320685938
30	0.4292104332
31	0.4262018325
32	0.4234278441
33	0.4192446608
34	0.4168300008
35	0.4143291698
36	0.4115755225
37	0.4092699941
38	0.4074831937
39	0.4053176882
40	0.403113278
41	0.4013175629
42	0.399732194
43	0.3955406817
44	0.3936405123
45	0.3903856838
46	0.387479901
47	0.3854310622
48	0.3820954765
49	0.3804023319
50	0.3782169872
51	0.3766729109
52	0.3738322598
53	0.370981152
54	0.3685354068
55	0.3659612586
56	0.3636454909
57	0.3613407541
58	0.3595098625
59	0.3574805147
60	0.3557343361
61	0.3544608362
62	0.352807645
63	0.3517868005
64	0.350378944
65	0.3490134369
66	0.3476449762
67	0.3462175758
68	0.3450070506
69	0.3437708564
70	0.3426901927
71	0.3414670716
72	0.3404242247
73	0.3395409367
74	0.3387493638
75	0.337776034
76	0.3369543432
77	0.3361811367
78	0.3354445975
79	0.3349018852
80	0.33417955
81	0.3335546683
82	0.3329779303
83	0.3323796097
84	0.3318472407
85	0.331429292
86	0.3309461003
87	0.3305032001
88	0.3299238065
89	0.3295491833
90	0.329149875
91	0.3286875629
92	0.3283980809
93	0.328035104
94	0.3277459926
95	0.3275495562
96	0.3271549834
97	0.3268214622
98	0.326545613
99	0.3262229162
100	0.3259915067
101	0.3257171702
102	0.3253734442
103	0.3250044777
104	0.3248614035
105	0.324691975
106	0.3243875647
107	0.3242131562
108	0.3239553198
109	0.3237958476
110	0.3236467961
111	0.323528237
112	0.3233944056
113	0.3231922968
114	0.3230213882
115	0.3228434286
116	0.3227007333
117	0.3225304292
118	0.3222939982
119	0.3220911001
120	0.3219269622
121	0.32184136
122	0.3217066642
123	0.3214976732
124	0.3212832799
125	0.321142699
126	0.3209815508
127	0.320870636
128	0.3207513104
129	0.3205512873
130	0.3203646025
131	0.3202948633
132	0.3202197574
133	0.3201002773
134	0.3200127098
135	0.3198855237
136	0.3198412887
137	0.3196212907
138	0.3195602666
139	0.3194020199
140	0.319269422
141	0.3191553831
142	0.3190729234
143	0.3189490946
144	0.3187812153
145	0.3187088657
146	0.3185445167
147	0.3184591584
148	0.3183480288
149	0.3182557763
150	0.3181049307
151	0.317953004
152	0.3178450968
153	0.3177754826
154	0.3176269816
155	0.3175147827
156	0.3173409494
157	0.3172077052
158	0.3171309189
159	0.3169850988
160	0.3168787619
161	0.3168046476
162	0.3166766119
163	0.3166250739
164	0.3165100408
165	0.3164570454
166	0.3163877101
167	0.3162270767
168	0.3161384688
169	0.316052174
170	0.3159735258
171	0.3158408955
172	0.3157096677
173	0.3155979862
174	0.3154996275
175	0.3153888358
176	0.3152623591
177	0.3151724126
178	0.3151016293
179	0.3150586931
180	0.3149958674
181	0.3149321092
182	0.3148669285
183	0.3147901179
184	0.3146562354
185	0.3145661938
186	0.3144927188
187	0.3144129046
188	0.3143157706
189	0.3142159061
190	0.3140802769
191	0.3139562827
192	0.3138276278
193	0.3136957046
194	0.3136667653
195	0.3135783455
196	0.3135049308
197	0.313327854
198	0.3132839367
199	0.3131893929
200	0.3131002341
201	0.3129987855
202	0.3129577083
203	0.3128430928
204	0.3126966674
205	0.3125935586
206	0.3125301036
207	0.3123776555
208	0.3122212184
209	0.3121490182
210	0.3121033321
211	0.3120349962
212	0.311894191
213	0.3118040525
214	0.3116760193
215	0.3115789174
216	0.3115152208
217	0.3114606941
218	0.3113931743
219	0.3112589717
220	0.3111928145
221	0.3111331514
222	0.3110683199
223	0.3109307899
224	0.3107776122
225	0.3107319492
226	0.3105884125
227	0.3105113563
228	0.3104038567
229	0.3102956986
230	0.3102043808
231	0.3100418214
232	0.309906154
233	0.3098593344
234	0.3098013832
235	0.3096167444
236	0.3095187171
237	0.3093854002
238	0.3092492339
239	0.3091985063
240	0.3090754079
241	0.3089619702
242	0.3088740762
243	0.3086946166
244	0.3086009343
245	0.3085052177
246	0.30839774
247	0.3082292301
248	0.3081650761
249	0.3080138769
250	0.3079014733
251	0.3078553262
252	0.3077682177
253	0.3076790105
254	0.3076289337
255	0.3074342135
256	0.3073455596
257	0.3072344717
258	0.3070658188
259	0.3070189689
260	0.3069515595
261	0.3068921037
262	0.3067597176
263	0.3066969432
264	0.3065568639
265	0.3064677478
266	0.3063966499
267	0.306364343
268	0.3063261558
269	0.3062018289
270	0.3061492894
271	0.3060667498
272	0.305908436
273	0.3057713463
274	0.3057164322
275	0.3056167292
276	0.3054705876
277	0.305407607
278	0.3053680781
279	0.3052207794
280	0.3051748238
281	0.3051095342
282	0.3050221369
283	0.3049535891
284	0.3048990415
285	0.3048080089
286	0.3047035565
287	0.3046212288
288	0.3045878882
289	0.3044531491
290	0.3044020177
291	0.304318552
292	0.3042126347
293	0.3041434494
294	0.3040876766
295	0.3039552886
296	0.3038874378
297	0.3036774655
298	0.3036302612
299	0.303546339
300	0.3034907664
301	0.3034133438
302	0.3033730185
303	0.3032954272
304	0.303151045
305	0.3030462228
306	0.3030018246
307	0.3028887012
308	0.302819271
309	0.3027730399
310	0.3026590504
311	0.302578812
312	0.3024730823
313	0.3024147488
314	0.3023196216
315	0.3022424651
316	0.3021762614
317	0.3021332044
318	0.3021062229
319	0.3020444714
320	0.3020181542
321	0.3019771166
322	0.3019100524
323	0.3018603795
324	0.3018341407
325	0.3017991148
326	0.3017418257
327	0.3016855105
328	0.3016026453
329	0.3014980741
330	0.3014024755
331	0.3013308067
332	0.3011968548
333	0.3010583177
334	0.3009704814
335	0.3009179211
336	0.3008714273
