iter	Passed	Remaining
0	61	91611
1	65	48849
2	69	34510
3	72	27291
4	76	22915
5	80	19948
6	83	17801
7	86	16199
8	90	15000
9	94	14042
10	97	13223
11	100	12499
12	104	11911
13	107	11401
14	110	10982
15	114	10596
16	117	10256
17	121	9965
18	124	9701
19	127	9465
20	131	9242
21	134	9045
22	138	8863
23	141	8680
24	144	8525
25	147	8390
26	151	8249
27	154	8120
28	157	8000
29	161	7895
30	164	7795
31	167	7701
32	171	7608
33	174	7521
34	177	7445
35	181	7370
36	184	7300
37	188	7235
38	191	7167
39	194	7105
40	197	7041
41	201	6985
42	204	6932
43	207	6877
44	211	6826
45	214	6777
46	217	6724
47	220	6681
48	224	6635
49	227	6596
50	230	6556
51	234	6517
52	237	6477
53	240	6440
54	243	6405
55	247	6369
56	250	6337
57	253	6304
58	256	6269
59	259	6238
60	263	6214
61	266	6184
62	270	6158
63	273	6130
64	276	6105
65	279	6080
66	283	6054
67	286	6029
68	289	6006
69	292	5983
70	296	5963
71	299	5938
72	302	5918
73	306	5896
74	309	5877
75	312	5856
76	315	5835
77	319	5820
78	322	5800
79	326	5787
80	329	5767
81	332	5748
82	335	5732
83	339	5717
84	342	5705
85	346	5691
86	349	5673
87	352	5657
88	355	5641
89	359	5626
90	362	5612
91	365	5598
92	369	5583
93	372	5569
94	375	5556
95	378	5541
96	382	5527
97	385	5515
98	388	5504
99	392	5492
100	395	5479
101	398	5468
102	402	5457
103	405	5445
104	409	5438
105	412	5426
106	415	5414
107	419	5404
108	422	5393
109	426	5385
110	429	5374
111	432	5365
112	436	5357
113	439	5348
114	443	5338
115	446	5326
116	449	5315
117	452	5304
118	456	5293
119	459	5285
120	462	5275
121	466	5268
122	469	5259
123	473	5250
124	476	5240
125	479	5231
126	483	5228
127	487	5220
128	490	5211
129	493	5204
130	497	5194
131	500	5186
132	503	5177
133	507	5170
134	510	5162
135	513	5153
136	517	5145
137	520	5137
138	523	5127
139	527	5120
140	530	5111
141	533	5105
142	537	5099
143	540	5094
144	544	5086
145	547	5078
146	550	5070
147	554	5062
148	557	5056
149	561	5049
150	564	5040
151	567	5034
152	571	5027
153	574	5020
154	578	5018
155	581	5011
156	584	5004
157	588	4997
158	591	4989
159	595	4983
160	598	4976
161	601	4967
162	604	4959
163	608	4959
164	612	4959
165	616	4953
166	619	4946
167	623	4940
