sp,total_demand,mean_demand,std_demand,n_days,cv,cum_share,ABC,XYZ,Segment
6750267,1667.9,18.532223,8.567967,90,0.4623281,0.0061931736,A,X,AX
5080267,1667.7999,18.53111,11.348679,90,0.6124122,0.012385976,A,Y,AY
3610267,1618.0,17.977777,11.675566,90,0.64944434,0.018393863,A,Y,AY
6190267,1586.1,17.623333,7.6396074,90,0.4334939,0.024283301,A,X,AX
4090267,1557.6,17.306667,11.237056,90,0.64929056,0.030066913,A,Y,AY
4920267,1510.7,16.785555,10.932618,90,0.6513111,0.03567638,A,Y,AY
8880267,1367.0,15.188889,9.152459,90,0.60257596,0.040752266,A,Y,AY
3560267,1344.5,14.938889,11.512921,90,0.77066785,0.0457446,A,Y,AY
8310267,1127.6,12.528889,7.724196,90,0.61651087,0.049931556,A,Y,AY
1360589,1004.4,11.16,4.2100415,90,0.37724388,0.053661052,A,X,AX
3380589,910.8,10.12,3.208423,90,0.31703785,0.057042994,A,X,AX
180117,687.2,7.6355557,1.8247555,90,0.23898137,0.059594676,A,X,AX
3000300,646.96,7.1884446,2.8507314,90,0.39657137,0.06199694,A,X,AX
2350004,638.1,7.0899997,4.884119,90,0.68887436,0.0643663,A,Y,AY
2550004,612.7,6.807778,4.661418,90,0.68471944,0.06664135,A,Y,AY
8900300,550.99,6.122111,2.3195653,90,0.37888324,0.06868727,A,X,AX
1810300,540.94,6.0104446,2.1950102,90,0.3651993,0.070695855,A,X,AX
1960300,509.88,5.6653333,2.364431,90,0.4173507,0.07258912,A,X,AX
4710070,478.7,5.318889,1.7444547,90,0.3279735,0.07436661,A,X,AX
4810070,467.6,5.1955557,1.7323694,90,0.33343294,0.07610288,A,X,AX
1610300,462.51,5.139,1.959652,90,0.38132945,0.07782025,A,X,AX
2500215,461.7,5.13,2.8379629,90,0.5532091,0.07953461,A,Y,AY
2040691,447.6,4.9733334,1.5375305,90,0.30915493,0.08119662,A,X,AX
930117,446.7,4.9633336,1.7747575,90,0.3575737,0.082855284,A,X,AX
2500004,443.5,4.927778,3.97051,90,0.8057405,0.08450207,A,Y,AY
1720300,438.02,4.866889,1.7714443,90,0.36397877,0.0861285,A,X,AX
1960691,434.1,4.8233333,1.4965166,90,0.31026605,0.087740384,A,X,AX
7900117,430.5,4.7833333,1.7046038,90,0.35636318,0.0893389,A,X,AX
1000300,429.93,4.777,2.2978337,90,0.48102024,0.09093529,A,X,AX
7040070,425.4,4.7266665,1.6088798,90,0.34038362,0.09251487,A,X,AX
2540300,415.14,4.6126666,1.6373676,90,0.35497203,0.09405635,A,X,AX
5610004,409.8,4.5533333,3.1299999,90,0.68740845,0.09557801,A,Y,AY
4670300,405.27,4.503,2.00228,90,0.4446547,0.09708284,A,X,AX
8170004,395.2,4.3911114,4.3093224,90,0.98137397,0.098550275,A,Y,AY
1810691,395.0,4.388889,1.4077989,90,0.3207643,0.100016974,A,X,AX
350004,389.6,4.328889,3.6158903,90,0.83529294,0.101463616,A,Y,AY
2490191,384.6,4.2733335,2.0941224,90,0.4900442,0.10289169,A,X,AX
3070117,382.7,4.2522225,1.6437986,90,0.38657397,0.10431272,A,X,AX
7040117,380.7,4.23,1.7678432,90,0.41792986,0.10572631,A,X,AX
4930215,380.21,4.2245555,2.7499373,90,0.6509412,0.10713809,A,Y,AY
3110215,378.7,4.207778,1.8742626,90,0.4454281,0.10854426,A,X,AX
2650117,375.9,4.1766667,2.0804088,90,0.49810266,0.10994004,A,X,AX
1430117,375.0,4.1666665,1.4937322,90,0.35849574,0.111332476,A,X,AX
4020070,370.6,4.117778,1.6213864,90,0.39375275,0.11270857,A,X,AX
2330070,369.1,4.1011114,1.5279784,90,0.37257665,0.114079095,A,X,AX
2560004,367.3,4.081111,3.1765254,90,0.7783482,0.11544294,A,Y,AY
2110215,363.0,4.0333333,1.7402053,90,0.43145585,0.116790816,A,X,AX
7220215,362.9,4.0322223,1.4885199,90,0.3691562,0.11813832,A,X,AX
1820143,362.6,4.028889,0.69285995,90,0.17197295,0.11948471,A,X,AX
6020300,362.049,4.0227666,1.909438,90,0.47465792,0.12082905,A,X,AX
2330691,361.6,4.017778,1.3682251,90,0.34054273,0.12217174,A,X,AX
5560070,361.0,4.0111113,1.7202328,90,0.4288669,0.123512186,A,X,AX
6060117,359.4,3.9933333,1.230584,90,0.30815962,0.12484669,A,X,AX
7220004,349.5,3.8833334,3.2370486,90,0.8335747,0.12614444,A,Y,AY
5630117,349.1,3.8788888,1.4500287,90,0.3738258,0.1274407,A,X,AX
8830004,348.9,3.8766665,3.1494977,90,0.8124242,0.12873621,A,Y,AY
2220191,348.7,3.8744445,1.9428093,90,0.501442,0.13003099,A,Y,AY
5190117,347.0,3.8555555,1.6434487,90,0.42625472,0.13131946,A,X,AX
3780004,346.5,3.85,3.3804543,90,0.8780401,0.13260607,A,Y,AY
5300070,345.5,3.838889,1.4718859,90,0.38341457,0.13388896,A,X,AX
2290215,342.0,3.8,1.4526225,90,0.38226908,0.13515887,A,X,AX
3430215,341.11,3.790111,1.7445236,90,0.46028298,0.13642545,A,X,AX
8600117,338.9,3.7655554,1.3024749,90,0.34589183,0.13768384,A,X,AX
2450191,338.7,3.7633336,1.8603159,90,0.49432662,0.13894148,A,X,AX
3940070,336.3,3.7366664,1.2753012,90,0.34129384,0.14019021,A,X,AX
3660215,331.37,3.6818888,2.0375502,90,0.5533981,0.14142065,A,Y,AY
3480117,329.2,3.657778,1.4012015,90,0.3830745,0.14264302,A,X,AX
3570215,327.049,3.633878,2.592497,90,0.7134244,0.1438574,A,Y,AY
210834,327.0,3.6333334,2.0993845,90,0.57781225,0.14507161,A,Y,AY
6660300,326.29,3.6254447,1.4384129,90,0.3967549,0.14628318,A,X,AX
2340215,325.7,3.618889,1.1529049,90,0.31857976,0.14749254,A,X,AX
7360004,323.4,3.5933332,3.2099144,90,0.8932972,0.14869337,A,Y,AY
5210691,319.6,3.5511112,1.3364589,90,0.3763495,0.14988011,A,X,AX
7580691,316.4,3.5155554,1.1757772,90,0.33444992,0.15105495,A,X,AX
2300004,314.2,3.4911113,2.482507,90,0.7110936,0.15222162,A,Y,AY
5120004,313.6,3.4844446,2.6790032,90,0.7688466,0.15338607,A,Y,AY
230691,309.4,3.4377778,1.5003054,90,0.43641722,0.1545349,A,X,AX
1670117,308.1,3.4233334,0.86829937,90,0.2536415,0.15567894,A,X,AX
3680117,307.8,3.4199998,1.085678,90,0.31744972,0.15682185,A,X,AX
110004,305.1,3.39,2.5408595,90,0.74951607,0.15795474,A,Y,AY
4680070,304.5,3.3833334,1.2763405,90,0.3772435,0.1590854,A,X,AX
