sp,total_demand,mean_demand,std_demand,n_days,cv,cum_share,ABC,XYZ,Segment
500267,1716.7,19.074444,6.495003,90,0.34050813,0.00038202704,A,X,AX
1220267,1715.1,19.056667,6.8998623,90,0.36207077,0.00076369796,A,X,AX
870267,1703.8,18.931112,8.006916,90,0.42295012,0.0011428542,A,X,AX
5470267,1702.7,18.918888,11.66512,90,0.6165859,0.0015217658,A,Y,AY
8940267,1694.4,18.826668,7.0176153,90,0.37274867,0.0018988304,A,X,AX
50267,1694.4,18.826668,6.932383,90,0.36822146,0.002275895,A,X,AX
4960267,1689.3,18.77,12.210885,90,0.6505533,0.0026518246,A,Y,AY
4530267,1680.3,18.67,7.5728736,90,0.40561724,0.003025751,A,X,AX
3390267,1675.1,18.612223,6.7285376,90,0.36151177,0.0033985206,A,X,AX
6750267,1667.9,18.532223,8.567967,90,0.4623281,0.0037696878,A,X,AX
5080267,1667.7999,18.53111,11.348679,90,0.6124122,0.004140833,A,Y,AY
4150267,1665.9,18.51,6.900709,90,0.37280977,0.004511555,A,X,AX
4400267,1661.7,18.463333,7.9039097,90,0.42808682,0.004881343,A,X,AX
3300267,1658.4,18.426666,7.558934,90,0.41021714,0.005250396,A,X,AX
2920267,1651.1,18.345554,11.421616,90,0.6225822,0.005617825,A,Y,AY
3340267,1644.1,18.267778,8.004238,90,0.43816155,0.0059836954,A,X,AX
5420267,1643.9,18.265556,12.061967,90,0.6603668,0.006349522,A,Y,AY
3910267,1639.0,18.211111,7.7694945,90,0.42663485,0.006714258,A,X,AX
3890267,1628.4,18.093334,11.67802,90,0.6454322,0.0070766355,A,Y,AY
3610267,1618.0,17.977777,11.675566,90,0.64944434,0.007436698,A,Y,AY
6810267,1617.8,17.975555,8.949073,90,0.4978468,0.0077967164,A,X,AX
4750267,1614.4,17.937778,9.982497,90,0.5565069,0.008155977,A,Y,AY
4120267,1610.8,17.897778,11.316578,90,0.6322896,0.008514439,A,Y,AY
110267,1610.2,17.891111,11.383091,90,0.6362428,0.008872765,A,Y,AY
4980267,1610.0,17.88889,11.165772,90,0.6241736,0.009231048,A,Y,AY
940267,1600.4,17.782223,8.066403,90,0.45362177,0.009587194,A,X,AX
6270589,1590.0,17.666666,8.595373,90,0.48653057,0.009941026,A,X,AX
6190267,1586.1,17.623333,7.6396074,90,0.4334939,0.010293989,A,X,AX
5460267,1565.8,17.397778,11.0362425,90,0.63434786,0.010642436,A,Y,AY
6310267,1563.9,17.376667,10.874649,90,0.625819,0.0109904595,A,Y,AY
4320267,1559.6,17.328888,6.8019867,90,0.392523,0.011337526,A,X,AX
7370267,1558.7,17.318888,5.5959435,90,0.32311216,0.011684393,A,X,AX
6340267,1558.4,17.315556,11.034939,90,0.6372847,0.012031192,A,Y,AY
4090267,1557.6,17.306667,11.237056,90,0.64929056,0.012377813,A,Y,AY
6690267,1549.5,17.216667,11.000524,90,0.6389462,0.012722633,A,Y,AY
7320267,1541.4,17.126667,10.46113,90,0.61080945,0.013065649,A,Y,AY
4590267,1540.5,17.116667,6.970004,90,0.4072057,0.013408465,A,X,AX
6660267,1536.3,17.07,11.223816,90,0.6575171,0.013750347,A,Y,AY
5740267,1534.6,17.051111,6.8556256,90,0.40206328,0.01409185,A,X,AX
5200267,1524.6,16.94,10.69533,90,0.63136536,0.014431129,A,Y,AY
760267,1522.7,16.918888,6.599419,90,0.3900622,0.014769984,A,X,AX
3130267,1522.0,16.911112,7.0661154,90,0.4178386,0.015108684,A,X,AX
6090267,1522.0,16.911112,5.8916516,90,0.34838936,0.015447384,A,X,AX
5290267,1520.6,16.895555,10.711968,90,0.63401103,0.015785772,A,Y,AY
6300267,1512.2,16.802221,10.656126,90,0.63420933,0.01612229,A,Y,AY
4920267,1510.7,16.785555,10.932618,90,0.6513111,0.016458476,A,Y,AY
6680267,1509.1,16.767778,10.594909,90,0.6318612,0.016794305,A,Y,AY
5050267,1498.7,16.652222,10.467201,90,0.6285769,0.01712782,A,Y,AY
4990267,1495.1,16.612223,9.936481,90,0.5981428,0.017460534,A,Y,AY
330589,1493.5,16.594444,3.7840695,90,0.22803232,0.01779289,A,X,AX
6320267,1488.6,16.539999,10.517388,90,0.635876,0.018124158,A,Y,AY
6080267,1485.6,16.506666,10.367493,90,0.6280791,0.018454757,A,Y,AY
5680267,1482.0,16.466667,10.333669,90,0.6275507,0.018784555,A,Y,AY
6510267,1481.1,16.456667,10.268584,90,0.6239772,0.019114153,A,Y,AY
6700267,1480.2,16.446667,10.360613,90,0.62995213,0.019443551,A,Y,AY
980267,1474.1,16.37889,10.052397,90,0.61374104,0.01977159,A,Y,AY
8910267,1473.2,16.368889,10.180844,90,0.6219631,0.020099431,A,Y,AY
8530267,1470.7,16.34111,9.961543,90,0.6096001,0.020426715,A,Y,AY
4630267,1461.7,16.24111,10.477165,90,0.64510155,0.020751996,A,Y,AY
8690267,1461.2,16.235556,10.526321,90,0.64834994,0.021077167,A,Y,AY
3650267,1457.5,16.194445,10.37688,90,0.6407679,0.021401512,A,Y,AY
660589,1456.6,16.184444,3.7699854,90,0.23293883,0.021725658,A,X,AX
8520267,1450.6,16.117777,11.159805,90,0.6923911,0.022048468,A,Y,AY
40267,1449.3,16.103334,10.104971,90,0.627508,0.022370989,A,Y,AY
4640267,1444.4,16.04889,9.125593,90,0.56861216,0.02269242,A,Y,AY
8790267,1443.7,16.041111,10.181608,90,0.63471967,0.023013694,A,Y,AY
630267,1439.3,15.992223,11.369012,90,0.7109088,0.02333399,A,Y,AY
520267,1437.8,15.975556,8.642049,90,0.5409545,0.02365395,A,Y,AY
230267,1434.2,15.935555,9.946151,90,0.62414837,0.023973113,A,Y,AY
