Policy,SL(Type1),Fill Rate,Avg Order,Avg Demand,Avg Revenue,Avg TotalCost,Avg Profit,SO Rate,Avg Waste,Waste%
Static MinMax (hist μ+σ),0.7278,0.8751,1.5361,1.2043,1.0539,0.8825,0.1714,0.2722,0.4822,31.39
Static Mean-Only (no buffer),0.4376,0.6859,1.0018,1.2043,0.826,0.6602,0.1658,0.5624,0.1758,17.55
Newsvendor-Normal (CR=0.625),0.7319,0.9337,1.3749,1.2043,1.1244,0.6901,0.4343,0.2681,0.2505,18.22
Quantile Newsvendor,0.6606,0.92,1.3128,1.2043,1.1079,0.6552,0.4527,0.3394,0.2048,15.6
Service Level (α=0.95),0.9816,0.9937,2.0901,1.2043,1.1967,1.1972,-0.0005,0.0184,0.8934,42.74
SAA (2000 scenarios),0.7319,0.9335,1.3747,1.2043,1.1242,0.6901,0.4341,0.2681,0.2505,18.22
Perishable Cost Opt,0.8997,0.9738,1.6448,1.2043,1.1727,0.8626,0.3101,0.1003,0.4721,28.7
Dynamic SS (CV-adaptive),0.8692,0.9599,1.6603,1.2043,1.156,0.8899,0.2661,0.1308,0.5042,30.37
Q50 Direct,0.5205,0.8766,1.1879,1.2043,1.0556,0.6024,0.4532,0.4795,0.1323,11.14
Q90 Direct,0.875,0.9718,1.5875,1.2043,1.1703,0.8189,0.3514,0.125,0.4172,26.28
Naive (Q=forecast),0.5382,0.8827,1.2031,1.2043,1.0631,0.6079,0.4552,0.4618,0.14,11.64
SS (0.25σ),0.6973,0.9248,1.3379,1.2043,1.1138,0.6701,0.4437,0.3027,0.2241,16.75
SS (0.5σ),0.8093,0.9525,1.4727,1.2043,1.1471,0.7479,0.3992,0.1907,0.3256,22.11
SS (0.75σ),0.8848,0.9702,1.6075,1.2043,1.1684,0.8366,0.3318,0.1152,0.4391,27.32
SS (1.0σ),0.9308,0.9811,1.7423,1.2043,1.1816,0.9326,0.249,0.0692,0.5608,32.19
SS (1.5σ),0.9758,0.992,2.012,1.2043,1.1947,1.1365,0.0582,0.0242,0.8173,40.62
Empirical Newsvendor,0.5803,0.9286,1.2662,1.2043,1.1183,0.6086,0.5097,0.4197,0.1479,11.68
Zero-Inflated Gamma NV,0.4913,0.7262,1.0873,1.2043,0.8746,0.6849,0.1897,0.5087,0.2127,19.56
KDE Newsvendor,0.5326,0.7611,1.1655,1.2043,0.9166,0.7096,0.207,0.4674,0.2489,21.35
Quantile-Direct Interp,0.6606,0.92,1.3128,1.2043,1.1079,0.6552,0.4527,0.3394,0.2048,15.6
